Id,BackendName,NameAr,NameEn,DescriptionAr,DescriptionEn,DisplayOrder,ParentId
06FC6DB6-F9E7-44E7-8A83-D6A90F365374, Architecture and Landscape ,العمارة والمناظر الطبيعية, Architecture and Landscape ,"","",2,53068239-3437-9508-3860-820022132875
0F871E46-DD63-4E11-84E1-67070DEEAC4A, Artificial Intelligence for Business, الذكاء الاصطناعي للأعمال, Artificial Intelligence for Business,"","",3,EF4B99A8-A131-49EB-A044-14B5F227BDC9
08C43179-07EA-4B3B-B884-D9C20E5BA8D1, Cyber Security and Forensic Computing,الأمن السيبراني والحوسبة الجنائية, Cyber Security and Forensic Computing,"","",11,EF4B99A8-A131-49EB-A044-14B5F227BDC9
0246B1F3-FD7F-460F-82BD-429A07CA31D9, Engineering Management,الإدارة الهندسية, Engineering Management,"","",12,A4E63C31-2522-498F-A2D1-160A4DE0C61F
0461FAC0-A9F4-45E5-AD03-02A50EEEDE45, International and Comparative Law ,القانون الدولي والمقارن, International and Comparative Law ,"","",14,53068239-3437-9508-3860-820022132875
02C2C319-EC6A-4BD0-AC87-A1450959453A, Marine technology with marine engineering,التكنولوجيا البحرية مع الهندسة البحرية, Marine technology with marine engineering,"","",18,EF4B99A8-A131-49EB-A044-14B5F227BDC9
0C1A2997-E137-4BE0-9CFB-F6FF0814F430, Mechatronics and Robotic Systems,الميكاترونكس والأنظمة الروبوتية, Mechatronics and Robotic Systems,"","",20,EF4B99A8-A131-49EB-A044-14B5F227BDC9
89798286-4261-9056-4345-838957121837,Academic Bridge Program,برنامج الجسر الأكاديمي,Academic Bridge Program,"","",32,
0385F69C-A761-42B8-9C24-2F490E4AB449,Academic Bridge Program,الجسر الأكاديمي,Academic Bridge Program,"","",33,89798286-4261-9056-4345-838957121837
062DE665-6710-4953-BEDF-16260F7E43B4,Academic Research,البحث الأكاديمي,Academic Research,"","",34,0EDE5489-BDF4-4838-9C6C-4E39B0B00E06
E48B8C61-6883-4B82-AF30-37D6D264267B,Accountancy,المحاسبة,Accountancy,"","",35,FE8830F7-D320-422C-90BE-2593BB1B9B89
FE8830F7-D320-422C-90BE-2593BB1B9B89,Accounting,محاسبة,Accounting,"","",36,
42B731EA-29D6-44C2-BFD7-E4EE60D65BCC,Accounting,محاسبة,Accounting,"","",37,FE8830F7-D320-422C-90BE-2593BB1B9B89
0AB2C31A-083D-42C3-BC52-C47C0C31814D,Accounting and Computer Science,المحاسبة وعلوم الكمبيوتر,Accounting and Computer Science,"","",38,53068239-3437-9508-3860-820022132875
01C3698D-6EB3-4886-AA42-AE1C0FE5E5BD,Accounting and FiNULLce,المحاسبة والمالية,Accounting and FiNULLce,"","",40,53068239-3437-9508-3860-820022132875
2CD5F603-2DCC-455D-B93D-A4F996432F83,Acoustics & vibration,الصوتيات والاهتزاز,Acoustics & vibration,"","",41,5DB7DE56-F67A-48CD-9089-46FB4E84D197
EF4D0470-7C30-419C-8E42-F9C3F9993E27,Acting,التمثيل,Acting,"","",42,27F76109-CE90-4F0B-A56C-AE5943612575
09BCCBF0-2AC7-4997-BDC8-63CA09918B80,Actuarial Mathematics ,الرياضيات الاكتوارية,Actuarial Mathematics ,"","",43,9589CFD6-4CBF-4FA8-B1EC-ABC0BF11F7EC
B9DE009E-F607-47FC-AA9D-28DE8FBDF214,Actuarial science,العلوم الاكتوارية,Actuarial science,"","",44,9589CFD6-4CBF-4FA8-B1EC-ABC0BF11F7EC
0E5EB6E6-D43B-4B83-8CB0-247A03C59F04,Acupuncture,الوخز بالإبر,Acupuncture,"","",46,B2B987EF-278C-4E27-AC79-6AAD152BF4DF
049E08EC-E225-48A9-974A-7E5E07F8DFDB,Administrative Assistant and Secretarial Science,مساعد إداري وعلوم السكرتارية,Administrative Assistant and Secretarial Science,"","",47,E9281E81-96F0-474B-B6D4-9F264FC2FC72
